                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8475,                 1.7024,                 1.1763,                0.29649,                0.24085,                0.21184,                0.11559,                 1.7422,                 1.5381,                 1.1587,             0.00023771,             0.00023771,             0.00023771
                      2,                 1.8647,                 1.7267,                  1.186,                0.28702,                0.23832,                0.21065,                0.11603,                 1.7304,                  1.537,                 1.1536,             0.00046629,             0.00046629,             0.00046629
                      3,                 1.8416,                 1.7127,                 1.1779,                 0.2668,                0.23737,                0.20639,                0.11163,                 1.7437,                 1.5675,                 1.1553,             0.00068544,             0.00068544,             0.00068544
                      4,                 1.8377,                 1.7058,                 1.1729,                0.28991,                0.23839,                0.21579,                0.11801,                  1.721,                 1.5444,                 1.1461,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.8214,                 1.6872,                 1.1723,                0.28854,                0.25657,                0.21915,                 0.1186,                 1.7172,                   1.53,                 1.1475,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.8077,                 1.6725,                 1.1668,                0.31022,                0.24703,                0.22049,                0.12184,                 1.7202,                 1.5112,                 1.1413,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.7885,                 1.6539,                 1.1568,                0.27979,                0.24133,                0.20956,                0.11413,                 1.7387,                 1.5351,                 1.1387,             0.00064331,             0.00064331,             0.00064331
                      8,                  1.786,                 1.6361,                 1.1542,                0.29799,                0.25142,                0.21853,                0.12125,                 1.7131,                 1.5167,                 1.1328,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.7853,                 1.6258,                 1.1486,                0.32507,                0.24384,                0.22769,                0.12585,                 1.6801,                 1.4826,                 1.1296,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.7756,                 1.6178,                 1.1513,                0.32684,                0.26078,                0.23614,                0.12908,                 1.6921,                 1.4914,                 1.1356,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.7749,                 1.6226,                 1.1453,                0.29771,                0.25641,                 0.2248,                0.12412,                 1.6741,                 1.4903,                 1.1254,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.7757,                 1.6089,                 1.1447,                0.31199,                0.25634,                0.22949,                0.12868,                 1.6837,                 1.4846,                 1.1264,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.7697,                 1.6002,                 1.1443,                0.32497,                0.25726,                0.23837,                0.13068,                 1.6686,                 1.4677,                 1.1265,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.7463,                 1.5812,                 1.1363,                0.32917,                0.26711,                0.24391,                0.13631,                 1.6593,                 1.4593,                 1.1206,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.7461,                 1.5754,                 1.1339,                0.33057,                0.27093,                0.24432,                0.13522,                  1.669,                 1.4574,                 1.1173,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.7476,                 1.5778,                  1.136,                0.34148,                0.25364,                0.24258,                0.13513,                 1.6621,                 1.4611,                 1.1219,             0.00051608,             0.00051608,             0.00051608
                     17,                  1.735,                 1.5684,                 1.1334,                0.32963,                0.26188,                0.23877,                0.13507,                 1.6534,                   1.44,                 1.1117,             0.00050194,             0.00050194,             0.00050194
                     18,                  1.724,                 1.5438,                 1.1288,                0.32428,                0.27277,                0.24488,                0.13531,                 1.6443,                 1.4384,                 1.1139,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.7212,                 1.5397,                 1.1237,                0.34224,                0.27426,                0.25609,                 0.1428,                 1.6367,                 1.4114,                 1.1116,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.7274,                 1.5428,                 1.1208,                0.34871,                 0.2744,                0.25724,                0.14409,                 1.6223,                 1.4074,                 1.1062,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.7181,                 1.5263,                 1.1148,                 0.3399,                0.26927,                 0.2527,                0.14295,                 1.6366,                 1.4129,                 1.1035,             0.00044539,             0.00044539,             0.00044539
                     22,                 1.7175,                 1.5234,                 1.1207,                0.34844,                0.28054,                0.25987,                0.14582,                 1.6182,                 1.4043,                 1.0983,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.7023,                 1.5138,                 1.1155,                0.32799,                0.28883,                0.25546,                0.14312,                  1.618,                 1.4172,                 1.1035,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.6978,                 1.5048,                  1.112,                0.34879,                 0.2836,                0.26277,                0.14704,                 1.6119,                 1.3923,                 1.1016,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.6998,                 1.4898,                 1.1123,                0.36385,                0.27639,                0.26473,                0.14852,                 1.6115,                 1.3871,                 1.0985,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.7013,                 1.4963,                  1.114,                0.35331,                0.28082,                0.26328,                0.14898,                 1.6096,                 1.3926,                 1.0978,             0.00037471,             0.00037471,             0.00037471
                     27,                 1.6845,                 1.4901,                 1.1086,                  0.362,                0.28653,                0.26778,                0.15045,                 1.6016,                 1.3782,                 1.0951,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.6985,                 1.4891,                 1.1137,                0.36219,                0.28379,                0.26846,                0.15192,                 1.6034,                 1.3762,                 1.0932,             0.00034643,             0.00034643,             0.00034643
                     29,                 1.6677,                 1.4579,                 1.0981,                 0.3649,                0.28117,                0.27156,                0.15343,                 1.5985,                 1.3723,                 1.0956,              0.0003323,              0.0003323,              0.0003323
                     30,                 1.6891,                 1.4859,                 1.1072,                0.37104,                0.28916,                0.26811,                0.15054,                 1.5951,                 1.3712,                 1.0915,             0.00031816,             0.00031816,             0.00031816
                     31,                 1.6824,                 1.4649,                 1.0999,                 0.3703,                0.28678,                0.27455,                0.15453,                 1.5964,                 1.3603,                 1.0902,             0.00030402,             0.00030402,             0.00030402
                     32,                  1.665,                 1.4554,                 1.1013,                0.35593,                0.28778,                0.27279,                0.15392,                 1.5922,                 1.3626,                 1.0897,             0.00028988,             0.00028988,             0.00028988
                     33,                 1.6663,                 1.4562,                 1.1003,                0.36829,                0.29142,                0.27555,                0.15563,                 1.5921,                 1.3577,                 1.0903,             0.00027575,             0.00027575,             0.00027575
                     34,                 1.6614,                 1.4414,                 1.0964,                0.37069,                0.28954,                 0.2754,                0.15582,                 1.5917,                 1.3572,                 1.0871,             0.00026161,             0.00026161,             0.00026161
                     35,                 1.6695,                 1.4466,                 1.1023,                0.37503,                0.28873,                0.27832,                0.15743,                 1.5878,                 1.3508,                 1.0875,             0.00024747,             0.00024747,             0.00024747
                     36,                 1.6633,                 1.4469,                 1.0974,                0.36622,                0.29276,                0.27771,                0.15815,                 1.5847,                 1.3528,                 1.0867,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.6626,                 1.4408,                 1.0928,                0.37644,                0.29134,                0.28069,                0.15985,                 1.5804,                 1.3447,                 1.0862,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.6562,                 1.4295,                 1.0954,                0.37233,                0.29412,                0.28151,                0.16024,                 1.5753,                 1.3433,                 1.0833,             0.00020506,             0.00020506,             0.00020506
                     39,                  1.667,                 1.4353,                 1.0929,                 0.3763,                0.29263,                0.28273,                0.16082,                 1.5777,                 1.3398,                 1.0841,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.6607,                  1.433,                 1.0946,                0.35999,                0.29783,                0.28126,                0.16021,                  1.576,                 1.3423,                 1.0824,             0.00017679,             0.00017679,             0.00017679
                     41,                 1.6214,                 1.3859,                 1.0879,                 0.3668,                0.29543,                0.28018,                0.16019,                 1.5812,                 1.3458,                 1.0844,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.6103,                 1.3608,                 1.0837,                0.38232,                0.29096,                 0.2837,                0.16196,                 1.5797,                 1.3402,                 1.0834,             0.00014851,             0.00014851,             0.00014851
                     43,                 1.6182,                   1.37,                 1.0871,                0.37579,                0.28964,                0.28434,                0.16212,                 1.5807,                 1.3364,                  1.084,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.6109,                 1.3627,                 1.0871,                0.37914,                0.28996,                0.28294,                 0.1611,                 1.5807,                 1.3355,                 1.0833,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.5961,                 1.3552,                 1.0817,                0.37027,                0.29717,                 0.2856,                0.16271,                 1.5758,                 1.3325,                 1.0819,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.5967,                 1.3522,                 1.0797,                0.36762,                0.29744,                0.28605,                0.16315,                 1.5743,                 1.3305,                 1.0826,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 1.5971,                 1.3437,                 1.0815,                0.37684,                0.29634,                0.28648,                0.16287,                 1.5731,                 1.3285,                 1.0829,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                 1.5922,                 1.3431,                 1.0796,                0.37307,                0.29527,                0.28559,                0.16311,                 1.5762,                   1.33,                 1.0824,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                 1.5958,                 1.3481,                 1.0774,                0.38296,                0.29281,                0.28804,                0.16418,                  1.574,                 1.3266,                 1.0824,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                 1.5858,                 1.3302,                 1.0755,                0.38529,                0.29685,                0.28708,                 0.1638,                 1.5729,                 1.3253,                 1.0809,             3.5414e-05,             3.5414e-05,             3.5414e-05
